# Baremo: conversion Puntuacion Directa (PD = suma de figuras acertadas) -> T / percentil.
# EJEMPLO / MARCADOR DE POSICION con NUMEROS FABRICADOS. Mismos tramos de edad que la Tabla
# B.9 real (CUMANIN, pag. 83) para que el formato sea fiel, pero no son los valores oficiales.
# El baremo real va en config/baremos.csv (gitignored, no se sube al repo).
tramo_edad,pd,T,percentil
36_42,0,26.7,1
36_42,1,35.9,8
36_42,2,39.2,14
36_42,3,41.9,21
36_42,4,43.9,27
36_42,5,45.9,34
36_42,6,47.5,40
36_42,7,49.2,47
36_42,8,50.8,53
36_42,9,52.5,60
36_42,10,54.1,66
36_42,11,56.1,73
36_42,12,58.1,79
36_42,13,60.8,86
36_42,14,64.1,92
36_42,15,73.3,99
43_48,0,26.7,1
43_48,1,34.5,6
43_48,2,38.3,12
43_48,3,41.2,19
43_48,4,43.3,25
43_48,5,45.3,32
43_48,6,46.9,38
43_48,7,48.7,45
43_48,8,50.3,51
43_48,9,52.0,58
43_48,10,53.6,64
43_48,11,55.5,71
43_48,12,57.4,77
43_48,13,59.9,84
43_48,14,62.8,90
43_48,15,68.8,97
49_54,0,26.7,1
49_54,1,32.5,4
49_54,2,37.2,10
49_54,3,40.5,17
49_54,4,42.6,23
49_54,5,44.8,30
49_54,6,46.4,36
49_54,7,48.2,43
49_54,8,49.7,49
49_54,9,51.5,56
49_54,10,53.1,62
49_54,11,55.0,69
49_54,12,56.7,75
49_54,13,59.2,82
49_54,14,61.7,88
49_54,15,66.4,95
55_60,0,26.7,1
55_60,1,29.5,2
55_60,2,35.9,8
55_60,3,39.6,15
55_60,4,41.9,21
55_60,5,44.2,28
55_60,6,45.9,34
55_60,7,47.7,41
55_60,8,49.2,47
55_60,9,51.0,54
55_60,10,52.5,60
55_60,11,54.4,67
55_60,12,56.1,73
55_60,13,58.4,80
55_60,14,60.8,86
55_60,15,64.8,93
61_66,0,26.7,1
61_66,1,26.7,1
61_66,2,34.5,6
61_66,3,38.7,13
61_66,4,41.2,19
61_66,5,43.6,26
61_66,6,45.3,32
61_66,7,47.2,39
61_66,8,48.7,45
61_66,9,50.5,52
61_66,10,52.0,58
61_66,11,53.9,65
61_66,12,55.5,71
61_66,13,57.7,78
61_66,14,59.9,84
61_66,15,63.4,91
67_78,0,26.7,1
67_78,1,26.7,1
67_78,2,32.5,4
67_78,3,37.7,11
67_78,4,40.5,17
67_78,5,42.9,24
67_78,6,44.8,30
67_78,7,46.7,37
67_78,8,48.2,43
67_78,9,50.0,50
67_78,10,51.5,56
67_78,11,53.3,63
67_78,12,55.0,69
67_78,13,57.1,76
67_78,14,59.2,82
67_78,15,62.3,89
